6.0, 5°,11°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,00:01:27:30:10:20
5.937, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:03:37:30:10:20
5.875, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:05:47:30:10:20
5.875, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:07:57:30:10:20
5.875, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:10:07:30:10:20
5.812, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:12:17:30:10:20
5.75, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:14:28:30:10:20
5.687, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:16:37:30:10:20
5.562, 5°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:18:47:30:10:20
5.5, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:20:57:30:10:20
5.375, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:23:08:30:10:20
5.312, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:25:18:30:10:20
5.25, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:27:28:30:10:20
5.25, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:29:38:30:10:20
5.25, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:31:47:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:33:58:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:36:08:30:10:20
5.125, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:38:18:30:10:20
5.125, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:40:28:30:10:20
5.062, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:42:38:30:10:20
5.062, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:44:48:30:10:20
5.062, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:46:58:30:10:20
5.062, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:49:08:30:10:20
5.125, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:51:19:30:10:20
5.125, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:53:29:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:55:38:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:57:48:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,00:59:58:30:10:20
5.125, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:02:09:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:04:19:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:06:29:30:10:20
5.187, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:08:39:30:10:20
5.125, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:10:50:30:10:20
5.125, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:13:00:30:10:20
5.062, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:15:10:30:10:20
5.062, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:17:20:30:10:20
5.0, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:19:30:30:10:20
4.875, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:21:40:30:10:20
4.812, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:23:50:30:10:20
4.75, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:26:00:30:10:20
4.75, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:28:10:30:10:20
